plotID	sequence_name	sampling_date
1	DM3_Spring	Spring
2	DM3_Winter	Winter
3	DM3_Summer	Summer
4	DM3_Autumn	Autumn
5	DM5_Spring	Spring
6	DM5_Winter	Winter
7	DM5_Summer	Summer
8	DM5_Autumn	Autumn
9	EM2_Spring	Spring
10	EM2_Summer	Summer
11	EM2_Winter	Winter
12	EM2_Autumn	Autumn
13	MM14_Spring	Spring
14	MM14_Summer	Summer
15	MM14_Winter	Winter
16	MM14_Autumn	Autumn
17	MM16_Spring	Spring
18	MM16_Summer	Summer
19	MM16_Winter	Winter
20	MM16_Autumn	Autumn
21	MM17_Spring	Spring
22	MM17_Summer	Summer
23	MM17_Winter	Winter
24	MM17_Autumn	Autumn
25	MM2_Spring	Spring
26	MM2_Summer	Summer
27	MM2_Winter	Winter
28	MM2_Autumn	Autumn
29	MM4_Spring	Spring
30	MM4_Summer	Summer
31	MM4_Winter	Winter
32	MM4_Autumn	Autumn
33	NM1_Spring	Spring
34	NM1_Summer	Summer
35	NM1_Winter	Winter
36	NM1_Autumn	Autumn
37	NM3_Spring	Spring
38	NM3_Summer	Summer
39	NM3_Winter	Winter
40	NM3_Autumn	Autumn
41	PM3_Spring	Spring
42	PM3_Summer	Summer
43	PM3_Winter	Winter
44	PM3_Autumn	Autumn
45	PM7_Spring	Spring
46	PM7_Summer	Summer
47	PM7_Winter	Winter
48	PM7_Autumn	Autumn
49	SM17_Spring	Spring
50	SM17_Summer	Summer
51	SM17_Winter	Winter
52	SM17_Autumn	Autumn
53	SM19_Spring	Spring
54	SM19_Winter	Winter
55	SM19_Summer	Summer
56	SM19_Autumn	Autumn
57	SM3_Spring	Spring
58	SM3_Summer	Summer
59	SM3_Winter	Winter
60	SM3_Autumn	Autumn
61	SM6_Spring	Spring
62	SM6_Summer	Summer
63	SM6_Winter	Winter
64	SM6_Autumn	Autumn
65	TM3_Spring	Spring
66	TM3_Summer	Summer
67	TM3_Winter	Winter
68	TM3_Autumn	Autumn
69	TM4_Spring	Spring
70	TM4_Summer	Summer
71	TM4_Winter	Winter
72	TM4_Autumn	Autumn
73	TM6_Spring	Spring
74	TM6_Summer	Summer
75	TM6_Winter	Winter
76	TM6_Autumn	Autumn
77	TM8_Spring	Spring
78	TM8_Summer	Summer
79	TM8_Winter	Winter
80	TM8_Autumn	Autumn
81	VM1_Spring	Spring
82	VM1_Summer	Summer
83	VM1_Winter	Winter
84	VM1_Autumn	Autumn
85	VM4_Spring	Spring
86	VM4_Summer	Summer
87	VM4_Winter	Winter
88	VM4_Autumn	Autumn
89	VM7_Spring	Spring
90	VM7_Summer	Summer
91	VM7_Winter	Winter
92	VM7_Autumn	Autumn
93	WM2_Spring	Spring
94	WM2_Summer	Summer
95	WM2_Winter	Winter
96	WM2_Autumn	Autumn
97	WM3_Spring	Spring
98	WM3_Summer	Summer
99	WM3_Winter	Winter
100	WM3_Autumn	Autumn
