Sample	lon	lat
DM3_Apr	113.959183	22.476667
DM3_Dec	113.959183	22.476667
DM3_Feb	113.959183	22.476667
DM3_Jan	113.959183	22.476667
DM3_Jul	113.959183	22.476667
DM3_Jun	113.959183	22.476667
DM3_Mar	113.959183	22.476667
DM3_May	113.959183	22.476667
DM3_Nov	113.959183	22.476667
DM3_Oct	113.959183	22.476667
DM3_Sep	113.959183	22.476667
DM5_Apr	113.8898	22.426017
DM5_Dec	113.8898	22.426017
DM5_Feb	113.8898	22.426017
DM5_Jan	113.8898	22.426017
DM5_Jul	113.8898	22.426017
DM5_Jun	113.8898	22.426017
DM5_Mar	113.8898	22.426017
DM5_May	113.8898	22.426017
DM5_Nov	113.8898	22.426017
DM5_Oct	113.8898	22.426017
DM5_Sep	113.8898	22.426017
EM2_Apr	114.266183	22.2622
EM2_Aug	114.266183	22.2622
EM2_Feb	114.266183	22.2622
EM2_Jan	114.266183	22.2622
EM2_Jul	114.266183	22.2622
EM2_Jun	114.266183	22.2622
EM2_Mar	114.266183	22.2622
EM2_May	114.266183	22.2622
EM2_Oct	114.266183	22.2622
EM2_Sep	114.266183	22.2622
MM14_Apr	114.448667	22.292667
MM14_Aug	114.448667	22.292667
MM14_Dec	114.448667	22.292667
MM14_Feb	114.448667	22.292667
MM14_Jan	114.448667	22.292667
MM14_Jul	114.448667	22.292667
MM14_Jun	114.448667	22.292667
MM14_Mar	114.448667	22.292667
MM14_May	114.448667	22.292667
MM14_Oct	114.448667	22.292667
MM14_Sep	114.448667	22.292667
MM16_Apr	114.448667	22.4445
MM16_Aug	114.448667	22.4445
MM16_Dec	114.448667	22.4445
MM16_Feb	114.448667	22.4445
MM16_Jan	114.448667	22.4445
MM16_Jul	114.448667	22.4445
MM16_Jun	114.448667	22.4445
MM16_Mar	114.448667	22.4445
MM16_May	114.448667	22.4445
MM16_Oct	114.448667	22.4445
MM16_Sep	114.448667	22.4445
MM17_Apr	114.349333	22.5032
MM17_Aug	114.349333	22.5032
MM17_Dec	114.349333	22.5032
MM17_Feb	114.349333	22.5032
MM17_Jan	114.349333	22.5032
MM17_Jul	114.349333	22.5032
