Sample,Temperature,NO3_N,DO,Reads
TM3_Dec,23.3,0.005,7.7,10864
MM4_Feb,19.4,0.001,7.6,10189
TM6_Dec,23,0.001,6.5,10103
TM6_Jan,18.1,0.001,7.1,9210
TM4_Dec,23.2,0.001,7.2,9177
VM7_Feb,19.5,0.12,6.3,9148
TM8_Dec,23.2,0.001,6.7,8740
TM3_Apr,21.6,0.012,4.3,8467
TM4_Apr,21.4,0.004,5.6,8355
TM8_Mar,20.2,0.001,7.5,8000
WM3_Feb,20.2,0.32,7.9,7846
NM3_Feb,21.1,0.36,7.3,6895
TM3_Feb,21.3,0.015,7.3,6117
PM7_Mar,20.5,0.007,8.2,5913
MM16_Feb,19.5,0.001,7.4,5874
TM6_Mar,20.6,0.001,6.5,5577
TM4_Mar,20.7,0.001,8.1,5539
MM14_Feb,19.2,0.021,7.9,5506
NM3_Jan,18.6,0.32,6.6,5281
PM3_Feb,19.4,0.004,7.7,5119
TM3_Jan,18.3,0.001,6.5,5001
TM8_Apr,21.2,0.001,5.8,4764
TM4_Jan,18.6,0.001,7,4762
WM2_Feb,20.2,0.32,7.8,4534
NM1_Jan,18.7,0.28,5.8,4524
SM17_Mar,20.6,0.15,6.8,4445
SM19_Feb,19.8,0.001,7.1,4243
SM6_Jan,18.6,0.13,6.8,4115
VM7_Dec,21.2,0.097,5.4,4075
MM17_Mar,20.1,0.007,8.2,4072
TM3_Nov,24.5,0.001,6.3,4036
NM1_Feb,20.7,0.27,6.7,4014
SM6_Feb,20.1,0.004,7.2,4002
TM6_Feb,20.6,0.001,8,3999
SM17_Jan,18.6,0.14,6.5,3980
TM8_Jan,17.8,0.001,7.1,3942
PM3_Jan,18.6,0.13,7,3896
SM6_Mar,20.8,0.022,6.4,3861
DM5_Feb,20.7,0.6,6.4,3781
TM4_Feb,20.6,0.012,7.7,3681
SM3_Feb,19.8,0.17,8.2,3658
TM6_Apr,21.1,0.003,7.4,3656
VM4_Jan,18.8,0.073,6.5,3624
TM6_Nov,24.5,0.001,5.5,3622
SM17_Feb,19.7,0.063,9,3614
VM4_Feb,19.3,0.1,6.7,3574
TM3_Mar,20.5,0.004,7.1,3522
MM2_Feb,19.8,0.01,7.1,3467
DM5_Jan,18.7,0.24,6.7,3325
MM14_Dec,20.6,0.027,4.8,3292
SM3_Jan,19.1,0.089,6.7,3173
MM4_Mar,20.2,0.001,7.7,3085
PM3_Jun,29.2,0.001,5.2,3074
TM4_May,24.8,0.003,7.1,3055
TM8_Feb,20.1,0.001,7,3043
VM1_Jan,19.2,0.077,6.2,2921
VM7_Aug,28.1,0.2,4.6,2831
MM14_Jan,17.9,0.17,7.3,2769
VM4_Dec,23.3,0.11,5.6,2733
SM3_Dec,23.5,0.091,4.9,2699
SM17_Sep,28,0.21,5.8,2526
